ruu,user,replying-to,sentiment
RUU Tentara Nasional Indonesia,"{'name': 'BeritaSatu', 'username': '@Beritasatu', 'profile_id': '1670400265743376385', 'avatar': 'https://pbs.twimg.com/profile_images/1670400265743376385/nUdqmHBU_bigger.jpg'}",,Neutral
RUU Narkotika,"{'name': 'azharrizaldi🇵🇸', 'username': '@Azhar_Rizaldi', 'profile_id': '1484138583032463367', 'avatar': 'https://pbs.twimg.com/profile_images/1484138583032463367/_p4trSIF_bigger.jpg'}",@howtodresvvell,Neutral
RUU Narkotika,"{'name': 'AJI Indonesia #TolakRUUPolri', 'username': '@AJIIndonesia', 'profile_id': '1811409580964147200', 'avatar': 'https://pbs.twimg.com/profile_images/1811409580964147200/GT1m_TeF_bigger.jpg'}",,Negative
RUU Narkotika,"{'name': 'tempo.co', 'username': '@tempodotco', 'profile_id': '1580466468629594112', 'avatar': 'https://pbs.twimg.com/profile_images/1580466468629594112/Q-zcV6aQ_bigger.jpg'}",,Neutral
RUU Narkotika,"{'name': 'Adi Wahyu 🇮🇩 🇵🇸 🇿🇦', 'username': '@adi_wp', 'profile_id': '1729875209229111296', 'avatar': 'https://pbs.twimg.com/profile_images/1729875209229111296/jWyEffBD_bigger.jpg'}",,Negative
RUU Narkotika,"{'name': 'barbietch', 'username': '@solitudeslut', 'profile_id': '1801947418675847168', 'avatar': 'https://pbs.twimg.com/profile_images/1801947418675847168/kHICWRnP_bigger.jpg'}",@idextratime,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Project Multatuli', 'username': '@projectm_org', 'profile_id': '1799115376078606337', 'avatar': 'https://pbs.twimg.com/profile_images/1799115376078606337/QmdFsWnJ_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Ts Ajam Mudin', 'username': '@theonlyajam', 'profile_id': '1788835551623413760', 'avatar': 'https://pbs.twimg.com/profile_images/1788835551623413760/xyUYRAqI_bigger.jpg'}",@501Awani,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Boniface Mwabukusi', 'username': '@Mwabuk2Boniface', 'profile_id': '1768899040568041472', 'avatar': 'https://pbs.twimg.com/profile_images/1768899040568041472/CqYY5Eec_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'BeritaSatu', 'username': '@Beritasatu', 'profile_id': '1670400265743376385', 'avatar': 'https://pbs.twimg.com/profile_images/1670400265743376385/nUdqmHBU_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'gemasulawesi.com', 'username': '@gemasulawesi', 'profile_id': '1554156867039166466', 'avatar': 'https://pbs.twimg.com/profile_images/1554156867039166466/lkM5rr-6_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Naufi Hakim', 'username': '@NLmuhammad', 'profile_id': '1824802234816987136', 'avatar': 'https://pbs.twimg.com/profile_images/1824802234816987136/aFf7me80_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'ari', 'username': '@ari81127730', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}",@mas_thol3,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'ari', 'username': '@ari81127730', 'profile_id': 'default_profile_bigger.png', 'avatar': 'https://pbs.twimg.com/abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png'}",@bachrum_achmadi,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Riano Nandiwardhana Nino', 'username': '@ninoriano', 'profile_id': '1806828152133668864', 'avatar': 'https://pbs.twimg.com/profile_images/1806828152133668864/zmgjTUfj_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Dirkovian', 'username': '@Redgerbil5', 'profile_id': '1318882604012040192', 'avatar': 'https://pbs.twimg.com/profile_images/1318882604012040192/RPGEGU7O_bigger.jpg'}",@Putra_Natic,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Dirkovian', 'username': '@Redgerbil5', 'profile_id': '1318882604012040192', 'avatar': 'https://pbs.twimg.com/profile_images/1318882604012040192/RPGEGU7O_bigger.jpg'}",@msaid_didu,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Elite Global OwO', 'username': '@nuklirterbang', 'profile_id': '1779152841275555840', 'avatar': 'https://pbs.twimg.com/profile_images/1779152841275555840/AKwyOH9h_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'TxtdariPrincipia', 'username': '@principia_id', 'profile_id': '1740041779729338368', 'avatar': 'https://pbs.twimg.com/profile_images/1740041779729338368/BU0sA2g7_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'matanusantara', 'username': '@matanusantara07', 'profile_id': '1798701316388388864', 'avatar': 'https://pbs.twimg.com/profile_images/1798701316388388864/_YW_BN9t_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': '西安/未央兼职未央约炮未央上门未央线下未央学生妹', 'username': '@anna36757411343', 'profile_id': '1830693198735515648', 'avatar': 'https://pbs.twimg.com/profile_images/1830693198735515648/AZlfCsvs_bigger.jpg'}",@AfiahSurahman,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': '西安/未央兼职未央约炮未央上门未央线下未央学生妹', 'username': '@anna36757411343', 'profile_id': '1830693198735515648', 'avatar': 'https://pbs.twimg.com/profile_images/1830693198735515648/AZlfCsvs_bigger.jpg'}",@fullmoonfolks,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'SINDOnews', 'username': '@SINDOnews', 'profile_id': '1657283286463582209', 'avatar': 'https://pbs.twimg.com/profile_images/1657283286463582209/-8HSjERq_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'superkebas', 'username': '@safiiimhmmd', 'profile_id': '1834193249575329792', 'avatar': 'https://pbs.twimg.com/profile_images/1834193249575329792/scEKA2MC_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Fanny denise', 'username': '@FannyFan80538', 'profile_id': '1781780813702668288', 'avatar': 'https://pbs.twimg.com/profile_images/1781780813702668288/hl5OJ2Qv_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Okezone', 'username': '@okezonenews', 'profile_id': '1810540685612982272', 'avatar': 'https://pbs.twimg.com/profile_images/1810540685612982272/xGXr0xeX_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': '𝗔𝗗𝗠𝗜𝗡＃1234', 'username': '@tsetiady', 'profile_id': '1815866955120992256', 'avatar': 'https://pbs.twimg.com/profile_images/1815866955120992256/EWMmOfq8_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Nugraha', 'username': '@Nugrahahihuho', 'profile_id': '1688234596503371776', 'avatar': 'https://pbs.twimg.com/profile_images/1688234596503371776/ZJDP2niR_bigger.jpg'}",@acanechi,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Nugraha', 'username': '@Nugrahahihuho', 'profile_id': '1688234596503371776', 'avatar': 'https://pbs.twimg.com/profile_images/1688234596503371776/ZJDP2niR_bigger.jpg'}",@neoirw,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Nugraha', 'username': '@Nugrahahihuho', 'profile_id': '1688234596503371776', 'avatar': 'https://pbs.twimg.com/profile_images/1688234596503371776/ZJDP2niR_bigger.jpg'}",@al_tiawan,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'IndoTV.Live', 'username': '@mediadigitalcpp', 'profile_id': '1453670868572200966', 'avatar': 'https://pbs.twimg.com/profile_images/1453670868572200966/xtqH3VCf_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'SuaraGarut.id', 'username': '@suaragarutid', 'profile_id': '1825448596533399552', 'avatar': 'https://pbs.twimg.com/profile_images/1825448596533399552/Y9OA_YOM_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Temonkomeng', 'username': '@temonkomeng', 'profile_id': '1569489715702931458', 'avatar': 'https://pbs.twimg.com/profile_images/1569489715702931458/Dtr5r5uM_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'argumen.id', 'username': '@argumen_id', 'profile_id': '1663756397723648000', 'avatar': 'https://pbs.twimg.com/profile_images/1663756397723648000/-FgtuyK3_bigger.jpg'}",,Neutral
RUU Kepolisian Negara Republik Indonesia,"{'name': 'SatpolPP', 'username': '@poskamlingX', 'profile_id': '1803880470649933827', 'avatar': 'https://pbs.twimg.com/profile_images/1803880470649933827/_wjY0GHf_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'JPNN.com', 'username': '@jpnncom', 'profile_id': '1523518470499205121', 'avatar': 'https://pbs.twimg.com/profile_images/1523518470499205121/EJf01gIy_bigger.jpg'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar Kebaikan', 'username': '@only_my_self_ok', 'profile_id': '1813972212673822720', 'avatar': 'https://pbs.twimg.com/profile_images/1813972212673822720/WJptiKun_bigger.png'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar Kebaikan', 'username': '@only_my_self_ok', 'profile_id': '1813972212673822720', 'avatar': 'https://pbs.twimg.com/profile_images/1813972212673822720/WJptiKun_bigger.png'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar Kebaikan', 'username': '@only_my_self_ok', 'profile_id': '1813972212673822720', 'avatar': 'https://pbs.twimg.com/profile_images/1813972212673822720/WJptiKun_bigger.png'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar Kebaikan', 'username': '@only_my_self_ok', 'profile_id': '1813972212673822720', 'avatar': 'https://pbs.twimg.com/profile_images/1813972212673822720/WJptiKun_bigger.png'}",,Negative
RUU Kepolisian Negara Republik Indonesia,"{'name': 'Kabar Kebaikan', 'username': '@only_my_self_ok', 'profile_id': '1813972212673822720', 'avatar': 'https://pbs.twimg.com/profile_images/1813972212673822720/WJptiKun_bigger.png'}",,Negative
